instrument_id,instrument_name,instrument_type,provider_name,issuer_type,rating,min_amount,max_amount,max_horizon_days,quote_required,supports_same_day,supports_forward_value,participation_flag,government_only_flag,base_liquidity_score,base_operational_friction,same_day_cutoff,active_flag,external_code,auto_source,notes
repo_on,BIST Repo O/N,Repo,BIST Repo Piyasası,Government,AAA,1000000,500000000,7,False,True,True,False,True,90,15,17:15,True,,manual,Kısa vadeli nakit park için yüksek likidite.
tpp_on,Takasbank Para Piyasası O/N,TPP,Takasbank,Market,AAA,100000,250000000,30,False,True,True,False,False,85,20,15:30,True,,manual,Likidite ve uygulanabilirlik açısından güçlü kısa vade alternatifi.
ppf_tp2,Tera Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Tera Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,84,12,13:30,True,TP2,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 114.9 mlr TL, net getiri %3.87, portföy büyüklüğü değişimi %4.16."
ppf_pry,Pusula Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Pusula Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,83,12,13:30,True,PRY,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 62.7 mlr TL, net getiri %3.86, portföy büyüklüğü değişimi %15.01."
ppf_dly,Deni̇z Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Deni̇z Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,82,12,13:30,True,DLY,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 54.1 mlr TL, net getiri %3.05, portföy büyüklüğü değişimi %-13.35."
ppf_zbj,Zi̇raat Portföy Başak Para Pi̇yasasi (Tl) Fonu,PPF,Zi̇raat Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,81,12,13:30,True,ZBJ,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 27.2 mlr TL, net getiri %3.16, portföy büyüklüğü değişimi %-3.86."
ppf_bgp,Ak Portföy Üçüncü Para Pi̇yasasi (Tl) Fonu,PPF,Ak Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,80,12,13:30,True,BGP,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 43.7 mlr TL, net getiri %3.01, portföy büyüklüğü değişimi %-28.16."
ppf_hsl,Hsbc Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Hsbc Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,79,12,13:30,True,HSL,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 19.9 mlr TL, net getiri %3.11, portföy büyüklüğü değişimi %-4.58."
ppf_ppn,Nurol Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Nurol Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,78,12,13:30,True,PPN,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 12.5 mlr TL, net getiri %3.25, portföy büyüklüğü değişimi %-3.22."
ppf_ioo,İş Portföy İki̇nci̇ Para Pi̇yasasi (Tl) Fonu,PPF,İş Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,77,12,13:30,True,IOO,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 25.6 mlr TL, net getiri %2.92, portföy büyüklüğü değişimi %-11.54."
ppf_ppz,Azi̇mut Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Azi̇mut Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,76,12,13:30,True,PPZ,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 13.1 mlr TL, net getiri %3.01, portföy büyüklüğü değişimi %-2.25."
ppf_fil,Fi̇ba Portföy Para Pi̇yasasi (Tl) Fonu,PPF,Fi̇ba Portföy,Fund,AA,1000,999999999999,30,False,True,True,False,False,75,12,13:30,True,FIL,tefas,"Yüklenen TEFAS karşılaştırma dosyasına göre son portföy büyüklüğü 12.1 mlr TL, net getiri %3.07, portföy büyüklüğü değişimi %-14.50."
